Label,AP1_Rssi,AP2_Rssi,AP3_Rssi,AP4_Rssi
11,-61.0,-69.0,-62.0,-52.0
11,-56.0,-70.0,-65.0,-59.0
11,-62.0,-70.0,-63.0,-61.0
11,-61.0,-69.0,-63.0,-60.0
11,-61.0,-69.0,-63.0,-60.0
11,-61.0,-70.0,-61.0,-60.0
11,-61.0,-70.0,-65.0,-54.0
11,-61.0,-69.0,-60.0,-59.0
11,-61.0,-70.0,-60.0,-60.0
11,-61.0,-70.0,-60.0,-60.0
11,-61.0,,-62.0,-60.0
11,-61.0,-70.0,-60.0,-56.0
11,-62.0,-69.0,-64.0,-58.0
11,-61.0,-70.0,-63.0,-60.0
11,-60.0,-69.0,-60.0,-60.0
11,-60.0,-69.0,-63.0,-55.0
11,-61.0,-69.0,-60.0,-59.0
11,-61.0,-69.0,-59.0,-60.0
11,-61.0,-70.0,-63.0,-58.0
11,-61.0,-70.0,-61.0,-60.0
11,-61.0,-70.0,-61.0,-52.0
11,-61.0,-70.0,-60.0,-60.0
11,-62.0,-69.0,-57.0,-55.0
11,-61.0,-70.0,-62.0,-59.0
11,-61.0,-69.0,-62.0,-59.0
11,-62.0,-69.0,-61.0,-55.0
11,-61.0,-69.0,-60.0,-61.0
11,-61.0,-70.0,-62.0,-59.0
11,-61.0,-69.0,-62.0,-60.0
11,-61.0,-70.0,-61.0,-60.0
11,-61.0,,-63.0,-60.0
11,-61.0,-70.0,-60.0,-60.0
11,-61.0,-69.0,-62.0,-61.0
11,,-69.0,,
11,-61.0,-70.0,-64.0,-60.0
11,-61.0,-69.0,-63.0,-60.0
11,-62.0,-70.0,-62.0,-53.0
11,-61.0,-70.0,-61.0,-60.0
11,-61.0,-70.0,-65.0,-61.0
11,-61.0,-70.0,-60.0,-59.0
11,-53.0,-70.0,-62.0,-52.0
11,-61.0,-69.0,-61.0,-53.0
11,-62.0,-69.0,-61.0,-60.0
11,-61.0,-70.0,-62.0,-59.0
11,-61.0,-70.0,-62.0,-60.0
11,-61.0,-69.0,-62.0,-60.0
11,-61.0,-70.0,-63.0,-60.0
11,-62.0,-70.0,-63.0,-60.0
11,-62.0,-70.0,-62.0,-60.0
11,,,,-60.0
11,-54.0,-70.0,-63.0,-61.0
11,-61.0,-70.0,-64.0,-61.0
11,-61.0,-70.0,-63.0,-60.0
11,-61.0,-70.0,-64.0,-55.0
11,-61.0,-70.0,-63.0,-54.0
11,-61.0,-68.0,-62.0,-55.0
11,-61.0,-70.0,-61.0,-58.0
11,-61.0,-70.0,-63.0,-54.0
11,-61.0,-70.0,-62.0,-59.0
11,-61.0,-69.0,-60.0,-60.0
11,-61.0,-70.0,-61.0,-61.0
11,-61.0,-70.0,-61.0,-60.0
11,-61.0,-69.0,-63.0,-55.0
11,-61.0,-69.0,-64.0,-61.0
11,-61.0,-70.0,-61.0,-60.0
11,-62.0,-69.0,-59.0,-59.0
11,-61.0,-70.0,-62.0,-60.0
11,-62.0,-69.0,-63.0,-61.0
11,-61.0,-70.0,-63.0,-60.0
11,-56.0,-69.0,-62.0,-60.0
11,-61.0,-70.0,-61.0,
11,-62.0,-69.0,-62.0,-59.0
11,-61.0,-70.0,-65.0,-55.0
11,-59.0,-70.0,-60.0,-57.0
11,-61.0,-70.0,-63.0,-60.0
11,-53.0,-70.0,-61.0,-60.0
11,-61.0,-70.0,-62.0,-59.0
11,-61.0,-70.0,-64.0,-61.0
11,-61.0,-70.0,-62.0,-60.0
11,-61.0,-69.0,-59.0,-58.0
11,-61.0,-70.0,-63.0,-60.0
11,-61.0,-70.0,-65.0,-61.0
11,-56.0,-70.0,-65.0,-59.0
11,-60.0,-69.0,-61.0,-60.0
11,-61.0,-70.0,-60.0,-59.0
11,-61.0,-70.0,-62.0,-59.0
11,-61.0,-69.0,-61.0,-61.0
11,-61.0,-70.0,-62.0,-59.0
11,-61.0,-70.0,-63.0,-60.0
11,-61.0,-70.0,-60.0,-60.0
11,-61.0,-70.0,-64.0,-61.0
11,-61.0,-70.0,-61.0,-59.0
11,-60.0,-69.0,-64.0,-60.0
11,-62.0,-69.0,-64.0,-60.0
11,-55.0,-70.0,-61.0,-60.0
11,-61.0,-70.0,-62.0,-55.0
11,-62.0,-70.0,-61.0,-55.0
11,-61.0,-69.0,-56.0,-55.0
11,-61.0,-69.0,-61.0,-55.0
11,-61.0,-69.0,-60.0,-61.0
11,-61.0,-69.0,-61.0,-60.0
11,-60.0,-68.0,,
11,-61.0,-69.0,-63.0,-60.0
11,-61.0,-70.0,-63.0,-60.0
11,-61.0,-70.0,-65.0,-61.0
11,-61.0,-70.0,-61.0,-60.0
11,-62.0,-70.0,-61.0,-60.0
11,-61.0,-69.0,-62.0,-60.0
11,-61.0,-69.0,-62.0,-53.0
11,-61.0,-70.0,-63.0,-60.0
11,-61.0,-70.0,-62.0,-59.0
11,-62.0,-69.0,-63.0,-60.0
11,-61.0,-70.0,-62.0,-60.0
11,-53.0,-70.0,-62.0,-59.0
11,-61.0,-69.0,-60.0,-60.0
11,-53.0,-70.0,-62.0,-60.0
11,-62.0,-69.0,-64.0,-60.0
11,-62.0,-70.0,-62.0,-59.0
11,-55.0,-70.0,-60.0,-61.0
11,-61.0,-69.0,-60.0,-59.0
11,-61.0,-70.0,-60.0,-61.0
11,-61.0,-70.0,-63.0,-60.0
11,-61.0,-70.0,-64.0,-60.0
11,-62.0,-69.0,-61.0,-60.0
11,-61.0,-69.0,-60.0,-61.0
11,-60.0,-68.0,-61.0,-54.0
11,-62.0,-70.0,-62.0,-57.0
11,-60.0,-69.0,-60.0,-60.0
11,-62.0,-70.0,-62.0,-59.0
11,-61.0,-70.0,-60.0,-59.0
11,-61.0,-70.0,-61.0,-60.0
11,-61.0,-70.0,-63.0,-59.0
11,-62.0,-69.0,-63.0,-60.0
11,-61.0,-69.0,-61.0,-60.0
11,-62.0,-69.0,-62.0,-54.0
11,-54.0,-70.0,-63.0,-60.0
11,-61.0,-70.0,-62.0,-61.0
11,-61.0,-69.0,-61.0,-60.0
11,-55.0,-69.0,-62.0,-60.0
11,-62.0,-69.0,-62.0,-59.0
11,-61.0,-69.0,-63.0,-60.0
11,-60.0,-70.0,-64.0,-60.0
11,-61.0,-69.0,-60.0,-60.0
11,-62.0,-70.0,-61.0,-60.0
11,-61.0,-70.0,-62.0,-55.0
11,-61.0,-69.0,-61.0,-57.0
11,-61.0,-69.0,-60.0,-60.0
11,-61.0,-70.0,-63.0,-59.0
11,-61.0,-70.0,-60.0,-60.0
11,-61.0,-70.0,-61.0,-60.0
11,-61.0,-69.0,-61.0,-60.0
11,-61.0,-70.0,-61.0,-60.0
11,-60.0,-69.0,-60.0,-60.0
11,-61.0,-70.0,-63.0,-55.0
11,-62.0,-69.0,,
11,-61.0,-70.0,-63.0,-60.0
11,-61.0,-70.0,-61.0,-61.0
11,-61.0,-70.0,-62.0,-59.0
11,-61.0,-70.0,-58.0,-60.0
11,-61.0,-70.0,-63.0,-60.0
11,,-70.0,-62.0,-61.0
11,-61.0,-70.0,-65.0,-61.0
11,-62.0,-69.0,-62.0,-59.0
11,-61.0,-68.0,-61.0,-60.0
11,-61.0,-69.0,-64.0,-61.0
11,-61.0,-70.0,-63.0,-60.0
11,-61.0,-70.0,-61.0,-60.0
11,-61.0,-69.0,-63.0,-60.0
11,-61.0,-69.0,-63.0,-60.0
11,-58.0,-70.0,-59.0,-58.0
11,-62.0,-70.0,-63.0,-60.0
11,-61.0,-70.0,-57.0,-59.0
11,-61.0,-69.0,-59.0,-58.0
11,-62.0,-69.0,-65.0,-53.0
11,-61.0,-69.0,-60.0,-56.0
11,-61.0,-70.0,-62.0,-60.0
11,-62.0,-70.0,-61.0,-55.0
11,-62.0,-70.0,-62.0,-59.0
11,-60.0,-68.0,-62.0,-56.0
11,-61.0,-69.0,-62.0,-55.0
11,-61.0,-70.0,-62.0,-54.0
11,-61.0,-70.0,-62.0,-59.0
11,-56.0,-70.0,-61.0,-59.0
11,-62.0,-69.0,-60.0,-60.0
11,-60.0,-69.0,-61.0,-55.0
11,-61.0,-70.0,-63.0,-59.0
11,-60.0,-69.0,-60.0,-59.0
11,-62.0,-69.0,-62.0,-60.0
11,-52.0,-70.0,-62.0,-59.0
11,-61.0,-69.0,-62.0,-61.0
11,-61.0,-70.0,-63.0,-60.0
11,-61.0,-69.0,-62.0,-59.0
11,-61.0,-70.0,-60.0,-61.0
11,-62.0,-70.0,-63.0,-60.0
11,-61.0,-69.0,-61.0,-60.0
11,-61.0,-70.0,-63.0,-60.0
11,-61.0,-70.0,-61.0,-60.0
11,-61.0,-69.0,-62.0,-60.0
11,-61.0,-69.0,-62.0,-60.0
11,-60.0,-68.0,-60.0,-60.0
11,,,,-60.0
11,-62.0,-70.0,-61.0,-59.0
11,-61.0,-70.0,-61.0,-58.0
11,-61.0,-70.0,-62.0,-59.0
